Title;Category;Subcategory;Class;IT Application Technology;IT Management & Support Processes;IT External Supply Chain;IT Engineering;IT Internal Supply Chain;IT Desktop Mgmt. & Support;IT Data Center;IT Network & Communication;IT Cross-functional solutions;IT PMO Operational;IT Processes & Rules;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;IT Global Applications SE;IT Global Applications EE;IT Global Applications ME;IT Global Application KANA;AITS Support (external);LOB;LOB Comment;Useful links & Comments;Item Type;Path
SAP Password self Service (PSS);SAP;SAP Password self Service (PSS);Application;A;I;I;I;I;I;-;-;-;-;-;I;I;I;I;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
CBS e-invoicing;SAP;CBS e-invoicing;Application;-;S;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;shared service center;;Element;IT/Lists/RASCI  POC
Aciveguard;IT Security;Aciveguard;Application;-;-;-;-;-;I;C;-;A;I;I;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Microsoft Defender;IT Security;Microsoft Defender;Application;-;-;-;-;-;C;S;-;A;I;I;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Alpas;Engineering Applications;Alpas;Application;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;R;;;Element;IT/Lists/RASCI  POC
Worksmile (HR - PL);Local Business Applications;Worksmile (HR - PL);Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;R;Urszula Balcerek;;Element;IT/Lists/RASCI  POC
Alphabot;SAP;Alphabot;Application;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Andrusiewicz, Grzegorz (PL) or Thomas Morrys;;Element;IT/Lists/RASCI  POC
SAP Device Management (Printer + Scanner);SAP;SAP basic components (BC);Service;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;R;-;;;Element;IT/Lists/RASCI  POC
Adient;B2B Portals;Adient;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
COVISINT Corporation;B2B Portals;COVISINT Corporation;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;LOB responsible IT External Supply Chain - Rafa³ Steczkiewicz Team;Element;IT/Lists/RASCI  POC
DAF eportal;B2B Portals;DAF eportal;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Daimler;B2B Portals;Daimler;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
FORD - COVISINT Corporation;B2B Portals;FORD - COVISINT Corporation;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;LOB responsible IT External Supply Chain  - Rafa³ Steczkiewicz Team;Element;IT/Lists/RASCI  POC
Kia / Hyundai;B2B Portals;Kia /  Hyundai;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Lear Supplier Relationship management;B2B Portals;Lear Supplier Relationship management;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
MAGNA international;B2B Portals;MAGNA international;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Material Daten System;B2B Portals;Material Daten System;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Partner Portal of the BMW Group.;B2B Portals;Partner Portal of the BMW Group.;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
PSA-Peugeot/Citröen;B2B Portals;PSA-Peugeot/Citröen;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
RENAULT B2B portal;B2B Portals;RENAULT B2B portal;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
SupplyOn;B2B Portals;SupplyOn;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Valeo;B2B Portals;Valeo;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Visteon Report Card;B2B Portals;Visteon Report Card;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Volkswagen group;B2B Portals;Volkswagen group;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;Resposnible group:DE-ATT-VW-TEAM@kirchhoff-automotive.com;Element;IT/Lists/RASCI  POC
Volvo Cars;B2B Portals;Volvo Cars;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Volvo Truck;B2B Portals;Volvo Truck;System;-;-;-;-;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Camera/Webcam;Client Hardware;Camera/Webcam;System;-;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Headset;Client Hardware;Headset;System;-;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Hydraterminal;Client Hardware;Hydraterminal;System;-;-;-;-;-;A;-;C;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
PC/Laptop;Client Hardware;PC/Laptop;System;-;-;-;-;-;A;C;C;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
PC-Monitor;Client Hardware;PC-Monitor;System;-;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Printer/mobile Printer;Client Hardware;Printer/mobile Printer;System;I;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Scanner/mobile Scanner;Client Hardware;Scanner/mobile Scanner;System;I;-;-;-;-;A;C;C;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Smartphone;Client Hardware;Smartphone;System;-;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Tablet;Client Hardware;Tablet;System;-;-;-;-;-;A;C;C;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Telephone;Client Hardware;Telephone;System;-;-;-;-;-;A;-;C;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Thin Client;Client Hardware;Thin Client;System;-;-;-;-;-;A;C;C;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
TV-Monitor;Client Hardware;TV-Monitor;System;-;-;-;-;-;A;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
USB-Devices;Client Hardware;USB-Devices;System;-;-;-;-;-;A;-;-;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
USB-encryption;Client Hardware;USB-encryption;System;-;-;-;-;-;R;C;-;A;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Microsoft Windows 10;Client Software;Microsoft Windows 10;System;-;-;-;-;-;A;C;-;-;C;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Aircondition;Datacenter;Aircondition;System;-;-;-;-;-;-;A;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Alarmsystem;Datacenter;Alarmsystem;System;-;-;-;-;-;C;R;C;C;-;C;S;S;S;S;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Cloudhosting (Server and OS);Datacenter;Cloudhosting (Server and OS);System;-;-;-;-;-;-;A;C;C;-;C;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
DC (Cabeling/Racks/etc);Datacenter;DC (Cabeling/Racks/etc);System;-;-;-;-;-;-;A;C;-;-;-;R;R;R;R;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Microsoft SQL Server;Datacenter;Microsoft SQL Server;System;-;-;-;C;-;-;A;-;-;-;-;-;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Oracle Server;Datacenter;Oracle Server;System;-;-;-;C;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Server (Cisco/Lenovo/HP);Datacenter;Server (Cisco/Lenovo/HP);System;-;-;-;-;-;-;A;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Storage (Netapp etc);Datacenter;Storage (Netapp etc);System;-;-;-;-;-;-;A;C;C;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Tapelibary;Datacenter;Tapelibary;System;-;-;-;-;-;I;A;C;-;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
UPS;Datacenter;UPS;System;-;-;-;-;-;-;A;-;-;-;-;R;R;R;R;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
CimDataBase DB - CDB;Engineering Applications;CimDataBase DB - CDB;System;-;-;-;C;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Infrastructure FTDS;Global Business Applications;Infrastructure FTDS;System;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Swift (Banking Transfer System);Global Business Applications;Swift (Banking Transfer System);System;-;I;-;-;-;-;R;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Treasury;;Element;IT/Lists/RASCI  POC
HSM;IT Security;HSM;System;-;-;-;-;-;-;C;-;A;I;I;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Opentrust;IT Security;Opentrust;System;-;-;-;-;-;I;-;-;A;I;I;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
OpenVAS;IT Security;OpenVAS;System;-;-;-;-;-;-;-;-;A;I;I;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
PKI;IT Security;PKI;System;-;-;-;-;-;I;C;-;A;I;I;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Security/Reporting Tools;IT Security;Security/Reporting Tools;System;-;-;-;-;-;I;-;-;A;I;I;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SKLM;IT Security;SKLM;System;-;-;-;-;-;-;C;-;A;I;I;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
CCTV;Local Business Applications;CCTV;System;-;-;-;-;-;-;-;-;-;-;-;S;S;S;S;-;-;-;-;-;A;Plant Manager;;Element;IT/Lists/RASCI  POC
Fortinet Router/FW;Network;Fortinet Router/FW;System;-;-;-;-;-;-;-;A;C;-;-;I;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Fortinet VPN;Network;Fortinet VPN;System;-;-;-;-;-;I;-;A;C;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
NAC (Network Access Control) – CISCO ISE;Network;NAC (Network Access Control) – CISCO ISE;System;-;-;-;-;-;I;-;A;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Remote Access / Dial In;Network;Remote Access / Dial In;System;-;-;-;-;-;I;-;A;C;-;-;S;-;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Switches;Network;Switches;System;-;-;-;-;-;-;-;A;-;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Telephonesystem;Network;Telephonesystem;System;-;-;-;-;-;I;C;A;-;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Videoconference System;Network;Videoconference System;System;-;-;-;-;-;I;C;A;-;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
WAN-services;Network;WAN-services;System;-;-;-;-;-;I;-;A;C;-;-;I;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
WiFi;Network;WiFi;System;-;-;-;-;-;I;-;A;C;-;-;S;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
adobe document server ADS;SAP;adobe document server ADS;System;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Cloud Connector;SAP;SAP Cloud Connector;System;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Infrastructure FTDS (e.g. network/storage/DB);SAP;SAP Infrastructure FTDS (e.g. network/storage/DB);System;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
SAP Webdispatcher;SAP;SAP Webdispatcher;System;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Spool management CUPS;SAP;Spool management CUPS;System;A;-;-;-;-;-;-;-;I;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Active Directory;Serverapplications;Active Directory;System;-;-;-;-;-;I;A;-;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
DHCP;Serverapplications;DHCP;System;-;-;-;-;-;I;A;C;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
DNS;Serverapplications;DNS;System;-;-;-;-;-;I;A;R;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Fileserver;Serverapplications;Fileserver;System;-;-;-;-;-;C;A;-;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Linux (Suse/Redhat/CentOS/Ubuntu);Serverapplications;Linux (Suse/Redhat/CentOS/Ubuntu);System;-;-;-;C;-;-;A;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Microsoft Windows Server;Serverapplications;Microsoft Windows Server;System;-;-;-;-;-;-;A;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Printserver;Serverapplications;Printserver;System;I;-;-;-;-;R;A;-;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
VMWare;Serverapplications;VMWare;System;-;-;-;-;-;I;A;C;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Webproxy;Serverapplications;Webproxy;System;-;-;-;-;-;I;A;R;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Xenserver;Serverapplications;Xenserver;System;-;-;-;-;-;I;A;C;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Access-Monitoring-Tool;System Monitoring;Access-Monitoring-Tool;System;-;-;-;-;-;I;-;-;A;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Check-MK;System Monitoring;Check-MK;System;-;-;-;-;-;A;S;S;S;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Lansweeper/jDisc (Asset-Inventory);System Monitoring;Lansweeper/jDisc (Asset-Inventory);System;-;-;-;-;-;I;A;-;-;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Snorby;System Monitoring;Snorby;System;-;-;-;-;-;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
WSUS;System Monitoring;WSUS;System;-;-;-;-;-;I;R;-;A;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Zabbix;System Monitoring;Zabbix;System;-;-;-;-;-;C;A;C;C;-;-;-;S;I;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Fortiauthenticator (FAC);Network;Fortiauthenticator (FAC);System;-;-;-;-;-;-;-;A;C;-;-;I;S;S;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
